Kdy,Teplota,Vlhkost
2017-03-27 18:34:55,9.3,
2017-03-27 18:39:55,9,
2017-03-27 18:44:55,8.8,
2017-03-27 18:49:55,8.6,
2017-03-27 18:54:55,8.3,
2017-03-27 18:59:55,8.3,
2017-03-27 19:04:55,8.2,
2017-03-27 19:09:55,7.9,
2017-03-27 19:14:56,7.8,
2017-03-27 19:19:55,7.6,
2017-03-27 19:24:55,7.2,
2017-03-27 19:29:55,7,
2017-03-27 19:34:55,6.6,
2017-03-27 19:39:55,6.3,
2017-03-27 19:44:55,5.9,
2017-03-27 19:49:55,5.7,
2017-03-27 19:54:55,5.4,
2017-03-27 19:59:55,5.4,
2017-03-27 20:04:55,5,
2017-03-27 20:09:55,5,
2017-03-27 20:14:55,4.9,
2017-03-27 20:19:55,4.9,
2017-03-27 20:24:55,5.1,
2017-03-27 20:29:55,4.9,
2017-03-27 20:34:55,4.9,
2017-03-27 20:39:55,4.7,
2017-03-27 20:44:55,4.6,
2017-03-27 20:49:55,4.8,
2017-03-27 20:54:55,4.4,
2017-03-27 20:59:55,4.2,
2017-03-27 21:04:55,3.8,
2017-03-27 21:09:55,3.6,
2017-03-27 21:14:55,3.5,
2017-03-27 21:19:55,3.2,
2017-03-27 21:24:55,3.2,
2017-03-27 21:29:55,3.4,
2017-03-27 21:34:55,3.1,
2017-03-27 21:39:55,2.9,
2017-03-27 21:44:55,2.7,
2017-03-27 21:49:55,2.5,
2017-03-27 21:54:55,2.5,
2017-03-27 21:59:55,2.2,
2017-03-27 22:04:55,2,
2017-03-27 22:09:55,2.4,
2017-03-27 22:14:55,2.2,
2017-03-27 22:19:55,2.1,
2017-03-27 22:24:55,1.9,
2017-03-27 22:29:55,1.9,
2017-03-27 22:34:55,1.6,
2017-03-27 22:39:55,1.8,
2017-03-27 22:44:54,1.7,
2017-03-27 22:49:55,1.4,
2017-03-27 22:54:55,1.3,
2017-03-27 22:59:55,1.4,
2017-03-27 23:04:55,1.3,
2017-03-27 23:09:55,1.5,
2017-03-27 23:14:55,1.2,
2017-03-27 23:19:55,1.2,
2017-03-27 23:24:55,1.5,
2017-03-27 23:29:55,1.6,
2017-03-27 23:34:55,1.4,
2017-03-27 23:39:55,1.3,
2017-03-27 23:44:55,1.1,
2017-03-27 23:49:55,1.1,
2017-03-27 23:54:55,1.3,
2017-03-27 23:59:55,0.9,
2017-03-28 00:04:55,0.8,
2017-03-28 00:09:55,1.1,
2017-03-28 00:14:55,1.1,
2017-03-28 00:19:55,0.9,
2017-03-28 00:24:55,0.7,
2017-03-28 00:29:55,0.9,
2017-03-28 00:34:55,0.7,
2017-03-28 00:39:55,0.6,
2017-03-28 00:44:55,0.5,
2017-03-28 00:49:55,0.5,
2017-03-28 00:54:55,0.4,
2017-03-28 00:59:55,0.3,
2017-03-28 01:04:55,0.3,
2017-03-28 01:09:55,0.3,
2017-03-28 01:14:55,0.3,
2017-03-28 01:19:55,0.1,
2017-03-28 01:24:55,0.2,
2017-03-28 01:29:55,0.3,
2017-03-28 01:34:55,0,
2017-03-28 01:39:55,0.1,
2017-03-28 01:44:55,0.1,
2017-03-28 01:49:54,0.1,
2017-03-28 01:54:54,0,
2017-03-28 01:59:54,0.3,
2017-03-28 02:04:54,0.3,
2017-03-28 02:09:54,0.4,
2017-03-28 02:14:54,0.1,
2017-03-28 02:19:55,0.4,
2017-03-28 02:24:55,0.1,
2017-03-28 02:29:54,-0.1,
2017-03-28 02:34:55,-0.1,
2017-03-28 02:44:55,-0.2,
2017-03-28 02:54:55,0.1,
2017-03-28 02:59:55,-0.2,
2017-03-28 03:04:55,0.5,
2017-03-28 03:09:55,0.4,
2017-03-28 03:14:55,0.3,
2017-03-28 03:19:55,0.5,
2017-03-28 03:24:55,0.3,
2017-03-28 03:29:55,0.3,
2017-03-28 03:34:55,-0.1,
2017-03-28 03:39:55,-0.4,
2017-03-28 03:44:55,-0.3,
2017-03-28 03:49:55,-0.1,
2017-03-28 03:54:55,-0.3,
2017-03-28 03:59:55,-0.5,
2017-03-28 04:04:55,-0.2,
2017-03-28 04:09:55,0.1,
2017-03-28 04:14:55,-0.2,
2017-03-28 04:19:55,-0.3,
2017-03-28 04:24:55,-0.3,
2017-03-28 04:29:55,-0.6,
2017-03-28 04:34:55,-0.6,
2017-03-28 04:39:55,-0.7,
2017-03-28 04:44:55,-0.9,
2017-03-28 04:49:55,-0.4,
2017-03-28 04:54:55,-0.6,
2017-03-28 04:59:55,-0.4,
2017-03-28 05:04:55,-0.4,
2017-03-28 05:09:55,-0.4,
2017-03-28 05:14:55,-0.5,
2017-03-28 05:19:54,-0.5,
2017-03-28 05:24:54,-0.6,
2017-03-28 05:29:54,-0.7,
2017-03-28 05:34:54,-1,
2017-03-28 05:39:54,-0.7,
2017-03-28 05:44:54,-0.6,
2017-03-28 05:49:54,-0.9,
2017-03-28 05:54:54,-1,
2017-03-28 05:59:54,-0.9,
2017-03-28 06:04:54,-0.8,
2017-03-28 06:09:54,-1.1,
2017-03-28 06:14:54,-1.3,
2017-03-28 06:19:55,-1.5,
2017-03-28 06:24:55,-1.6,
2017-03-28 06:29:55,-1.5,
2017-03-28 06:34:55,-1.5,
2017-03-28 06:39:55,-1.4,
2017-03-28 06:44:55,-1.5,
2017-03-28 06:49:55,-1.5,
2017-03-28 06:54:55,-1.4,
2017-03-28 06:59:55,-1.4,
2017-03-28 07:04:55,-1.3,
2017-03-28 07:09:55,-1.3,
2017-03-28 07:14:55,-0.7,
2017-03-28 07:19:55,-0.3,
2017-03-28 07:24:56,0,
2017-03-28 07:29:55,0.3,
2017-03-28 07:34:55,0.6,
2017-03-28 07:39:55,1,
2017-03-28 07:44:55,1.3,
2017-03-28 07:49:54,1.4,
2017-03-28 07:54:54,1.8,
2017-03-28 07:59:57,2.1,
2017-03-28 08:04:56,2.3,
2017-03-28 08:09:55,2.7,
2017-03-28 08:14:55,2.7,
2017-03-28 08:19:55,2.9,
2017-03-28 08:24:55,3.2,
2017-03-28 08:29:55,3.6,
2017-03-28 08:34:55,3.8,
2017-03-28 08:39:55,4,
2017-03-28 08:44:55,4.4,
2017-03-28 08:49:55,4.6,
2017-03-28 08:54:55,4.8,
2017-03-28 08:59:55,5.3,
2017-03-28 09:04:55,5.4,
2017-03-28 09:09:55,5.6,
2017-03-28 09:14:55,5.7,
2017-03-28 09:19:55,6,
2017-03-28 09:24:55,6.2,
2017-03-28 09:29:55,6.6,
2017-03-28 09:34:55,6.9,
2017-03-28 09:39:55,6.8,
2017-03-28 09:44:54,7.4,
2017-03-28 09:49:54,8.1,
2017-03-28 09:54:54,8.1,
2017-03-28 09:59:54,8,
2017-03-28 10:04:54,7.8,
2017-03-28 10:09:54,8.3,
2017-03-28 10:14:54,8.1,
2017-03-28 10:19:54,8.4,
2017-03-28 10:24:54,8.7,
2017-03-28 10:29:54,9.1,
2017-03-28 10:34:54,9.1,
2017-03-28 10:39:54,9.5,
2017-03-28 10:44:54,10.1,
2017-03-28 10:49:54,10,
2017-03-28 10:54:54,10.4,
2017-03-28 10:59:55,9.9,
2017-03-28 11:04:55,10.4,
2017-03-28 11:09:55,10.9,
2017-03-28 11:14:55,10.5,
2017-03-28 11:19:55,10.3,
2017-03-28 11:24:55,10.3,
2017-03-28 11:29:55,10.3,
2017-03-28 11:34:55,10.6,
2017-03-28 11:44:55,10.5,
2017-03-28 11:54:55,11.1,
2017-03-28 12:04:55,11,
2017-03-28 12:14:55,11.1,
2017-03-28 12:24:55,11.7,
2017-03-28 12:34:55,11.3,
2017-03-28 12:44:55,12.1,
2017-03-28 12:54:55,11.8,
2017-03-28 13:04:55,12,
2017-03-28 13:14:55,12,
2017-03-28 13:24:54,13.7,
2017-03-28 13:34:54,13.7,
2017-03-28 13:44:54,15.8,
2017-03-28 13:49:54,16.1,
2017-03-28 13:54:54,14.5,
2017-03-28 14:04:54,14.3,
2017-03-28 14:09:54,15.4,
2017-03-28 14:14:54,14.3,
2017-03-28 14:24:54,14.6,
2017-03-28 14:34:54,14.5,
2017-03-28 14:44:58,14.7,
2017-03-28 14:54:54,13.9,
2017-03-28 15:04:55,15.3,
2017-03-28 15:14:55,13.5,
2017-03-28 15:24:55,13.9,
2017-03-28 15:34:55,13,
2017-03-28 15:44:55,13.8,
2017-03-28 15:54:56,15.1,
2017-03-28 16:04:55,14.7,
2017-03-28 16:14:55,14.5,
2017-03-28 16:24:55,14.4,
2017-03-28 16:29:55,16.1,
2017-03-28 16:34:55,14.1,
2017-03-28 16:44:55,12.8,
2017-03-28 16:54:55,13.6,
2017-03-28 17:04:54,13.7,
2017-03-28 17:14:54,13.5,
2017-03-28 17:24:54,12.9,
2017-03-28 17:34:54,13.1,
2017-03-28 17:44:54,13.4,
2017-03-28 17:54:54,12.9,
2017-03-28 18:04:54,12.7,
2017-03-28 18:14:54,12.7,
2017-03-28 18:24:54,12.4,
2017-03-28 18:34:54,12.1,
2017-03-28 18:44:56,11.9,
2017-03-28 18:54:54,11.5,
2017-03-28 19:04:55,10.8,
2017-03-28 19:14:55,10.3,
2017-03-28 19:24:55,10.3,
2017-03-28 19:34:55,9.7,
2017-03-28 19:44:55,9.4,
2017-03-28 19:54:55,9.9,
2017-03-28 20:04:55,9.9,
2017-03-28 20:14:55,9.6,
2017-03-28 20:24:55,8.6,
2017-03-28 20:34:54,8.3,
2017-03-28 20:44:54,7.9,
2017-03-28 20:54:54,7.5,
2017-03-28 21:04:54,7.2,
2017-03-28 21:14:54,7.2,
2017-03-28 21:24:54,6.6,
